city,alpha,beta,w,tour_len,seconds
AISearchfile021.txt,1.4,2.0,0.5,4319,0.61
AISearchfile021.txt,1.4,2.0,0.7,4115,0.8
AISearchfile021.txt,1.4,2.0,0.9,4841,1.26
AISearchfile021.txt,1.6,1.0,0.5,3421,0.46
AISearchfile021.txt,1.6,1.0,0.7,4557,0.68
AISearchfile021.txt,1.6,1.0,0.9,4661,1.09
AISearchfile021.txt,1.6,1.2,0.5,3334,0.52
AISearchfile021.txt,1.6,1.2,0.7,4773,0.74
AISearchfile021.txt,1.6,1.2,0.9,4418,1.09
AISearchfile021.txt,1.6,1.4,0.5,3974,0.58
AISearchfile021.txt,1.6,1.4,0.7,4056,0.68
AISearchfile021.txt,1.6,1.4,0.9,4202,1.18
AISearchfile021.txt,1.6,1.6,0.5,3657,0.56
AISearchfile021.txt,1.6,1.6,0.7,4034,0.74
AISearchfile021.txt,1.6,1.6,0.9,4819,1.27
AISearchfile021.txt,1.6,1.8,0.5,3195,0.59
AISearchfile021.txt,1.6,1.8,0.7,4380,0.79
AISearchfile021.txt,1.6,1.8,0.9,4640,1.29
AISearchfile021.txt,1.6,2.0,0.5,4318,0.61
AISearchfile021.txt,1.6,2.0,0.7,4091,0.78
AISearchfile021.txt,1.6,2.0,0.9,4733,1.35
AISearchfile021.txt,1.8,1.0,0.5,3834,0.52
AISearchfile021.txt,1.8,1.0,0.7,4609,0.72
AISearchfile021.txt,1.8,1.0,0.9,4382,1.05
AISearchfile021.txt,1.8,1.2,0.5,3004,0.5
AISearchfile021.txt,1.8,1.2,0.7,4148,0.67
AISearchfile021.txt,1.8,1.2,0.9,4350,1.18
AISearchfile021.txt,1.8,1.4,0.5,3904,0.53
AISearchfile021.txt,1.8,1.4,0.7,3903,0.72
AISearchfile021.txt,1.8,1.4,0.9,4380,1.09
AISearchfile021.txt,1.8,1.6,0.5,4630,0.66
AISearchfile021.txt,1.8,1.6,0.7,4735,0.76
AISearchfile021.txt,1.8,1.6,0.9,3931,1.22
AISearchfile021.txt,1.8,1.8,0.5,4260,0.67
AISearchfile021.txt,1.8,1.8,0.7,4436,0.74
AISearchfile021.txt,1.8,1.8,0.9,4491,1.3
AISearchfile021.txt,1.8,2.0,0.5,4455,0.66
AISearchfile021.txt,1.8,2.0,0.7,4740,0.83
AISearchfile021.txt,1.8,2.0,0.9,4657,1.35
AISearchfile021.txt,2.0,1.0,0.5,3454,0.49
AISearchfile021.txt,2.0,1.0,0.7,4221,0.66
AISearchfile021.txt,2.0,1.0,0.9,3897,1.05
AISearchfile021.txt,2.0,1.2,0.5,3764,0.55
AISearchfile021.txt,2.0,1.2,0.7,4142,0.74
AISearchfile021.txt,2.0,1.2,0.9,4787,1.21
AISearchfile021.txt,2.0,1.4,0.5,3702,0.59
AISearchfile021.txt,2.0,1.4,0.7,4234,0.8
AISearchfile021.txt,2.0,1.4,0.9,4147,1.29
AISearchfile021.txt,2.0,1.6,0.5,4100,0.68
AISearchfile021.txt,2.0,1.6,0.7,4316,0.8
AISearchfile021.txt,2.0,1.6,0.9,4373,1.31
AISearchfile021.txt,2.0,1.8,0.5,4579,0.69
AISearchfile021.txt,2.0,1.8,0.7,4430,0.81
AISearchfile021.txt,2.0,1.8,0.9,4790,1.36
AISearchfile021.txt,2.0,2.0,0.5,4209,0.61
AISearchfile021.txt,2.0,2.0,0.7,4516,0.83
AISearchfile021.txt,2.0,2.0,0.9,4826,1.4
AISearchfile026.txt,1.0,1.0,0.5,1807,0.47
AISearchfile026.txt,1.0,1.0,0.7,1875,0.81
AISearchfile026.txt,1.0,1.0,0.9,2047,1.24
AISearchfile026.txt,1.0,1.2,0.5,1684,0.52
AISearchfile026.txt,1.0,1.2,0.7,2035,0.86
AISearchfile026.txt,1.0,1.2,0.9,2021,1.26
AISearchfile026.txt,1.0,1.4,0.5,1747,0.63
AISearchfile026.txt,1.0,1.4,0.7,2075,0.91
AISearchfile026.txt,1.0,1.4,0.9,2070,1.36
AISearchfile026.txt,1.0,1.6,0.5,1836,0.7
AISearchfile026.txt,1.0,1.6,0.7,2077,0.97
AISearchfile026.txt,1.0,1.6,0.9,2071,1.41
AISearchfile026.txt,1.0,1.8,0.5,1781,0.71
AISearchfile026.txt,1.0,1.8,0.7,2036,0.91
AISearchfile026.txt,1.0,1.8,0.9,2056,1.45
AISearchfile026.txt,1.0,2.0,0.5,1959,0.79
AISearchfile026.txt,1.0,2.0,0.7,2106,1.0
AISearchfile026.txt,1.0,2.0,0.9,1983,1.51
AISearchfile026.txt,1.2,1.0,0.5,1629,0.55
AISearchfile026.txt,1.2,1.0,0.7,2060,0.85
AISearchfile026.txt,1.2,1.0,0.9,1955,1.29
AISearchfile026.txt,1.2,1.2,0.5,1623,0.53
AISearchfile026.txt,1.2,1.2,0.7,1968,0.88
AISearchfile026.txt,1.2,1.2,0.9,2098,1.34
AISearchfile026.txt,1.2,1.4,0.5,1810,0.7
AISearchfile026.txt,1.2,1.4,0.7,2048,0.92
AISearchfile026.txt,1.2,1.4,0.9,2014,1.41
AISearchfile026.txt,1.2,1.6,0.5,1972,0.76
AISearchfile026.txt,1.2,1.6,0.7,2075,0.95
AISearchfile026.txt,1.2,1.6,0.9,2039,1.44
AISearchfile026.txt,1.2,1.8,0.5,1931,0.75
AISearchfile026.txt,1.2,1.8,0.7,1975,0.91
AISearchfile026.txt,1.2,1.8,0.9,2075,1.56
AISearchfile026.txt,1.2,2.0,0.5,1977,0.83
AISearchfile026.txt,1.2,2.0,0.7,2063,0.98
AISearchfile026.txt,1.2,2.0,0.9,2019,1.55
AISearchfile026.txt,1.4,1.0,0.5,1632,0.6
AISearchfile026.txt,1.4,1.0,0.7,1970,0.86
